Status,ID,Category,Severity,Priority,Title,Location,Effort,Description,Suggestion
,MISSING-INTEGRATION-TESTS,testing,high,p1,Missing CLI integration tests,cmd/hashi,large,The main CLI entry point lacks comprehensive integration tests.,Create cmd/hashi/integration_test.go to test CLI workflows.
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'LoadDotEnv' in 'internal/config/config.go' has no corresponding unit test.,Add TestLoadDotEnv to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'ClassifyArguments' in 'internal/config/config.go' has no corresponding unit test.,Add TestClassifyArguments to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'ApplyEnvConfig' in 'internal/config/config.go' has no corresponding unit test.,Add TestApplyEnvConfig to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'WriteErrorWithVerbose' in 'internal/config/config.go' has no corresponding unit test.,Add TestWriteErrorWithVerbose to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'LoadConfigFile' in 'internal/config/config.go' has no corresponding unit test.,Add TestLoadConfigFile to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'ApplyConfigFile' in 'internal/config/config.go' has no corresponding unit test.,Add TestApplyConfigFile to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'HandleFileWriteError' in 'internal/config/config.go' has no corresponding unit test.,Add TestHandleFileWriteError to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'HasStdinMarker' in 'internal/config/config.go' has no corresponding unit test.,Add TestHasStdinMarker to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'ValidateConfig' in 'internal/config/config.go' has no corresponding unit test.,Add TestValidateConfig to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'FilesWithoutStdin' in 'internal/config/config.go' has no corresponding unit test.,Add TestFilesWithoutStdin to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'ParseArgs' in 'internal/config/config.go' has no corresponding unit test.,Add TestParseArgs to internal/config/config_test.go
,MISSING-UNIT-TEST,testing,medium,p2,Missing unit test for exported function,internal/config/config.go,small,Function 'FileSystemError' in 'internal/config/config.go' has no corresponding unit test.,Add TestFileSystemError to internal/config/config_test.go
,MISSING-PROPERTY-TEST,testing,medium,p2,Missing property-based tests for core logic,internal/hash,medium,Package 'internal/hash' contains core logic but lacks property-based tests.,Implement property-based tests in internal/hash/property_test.go
,MISSING-PROPERTY-TEST,testing,medium,p2,Missing property-based tests for core logic,internal/conflict,medium,Package 'internal/conflict' contains core logic but lacks property-based tests.,Implement property-based tests in internal/conflict/property_test.go
,MISSING-BENCHMARK,testing,low,p3,Missing benchmarks for performance-critical code,internal/hash,small,Hashing operations should be benchmarked to detect regressions.,Add BenchmarkHash in internal/hash/benchmark_test.go
